,training_type,network,optimizer,proposal,base_dist,step,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean
,,,,,,,mean,std,count,min,max,mean,std,count,min,max
84,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,3129,-47082127579.04367,105278837179.81358,5,-235410636800.0,-13.700014114379883,-3.127107620239258,0.10997541756785952,5,-3.284918785095215,-3.017338275909424
85,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,3442,-288922960029409.06,646051378885870.5,5,-1444614800146432.0,-17.019824981689453,-3.1589680194854735,0.1517647491310468,5,-3.3659300804138184,-3.0399672985076904
86,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,3755,-1.0175419364136714e+18,2.275292939777738e+18,5,-5.087709682068357e+18,-15.777785301208496,-3.226569128036499,0.1395732605913017,5,-3.4011361598968506,-3.0589709281921387
87,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,4068,-54.70629615783692,72.84870940252094,5,-184.77542114257812,-16.209463119506836,-3.2536863803863527,0.15849893048143535,5,-3.4744482040405273,-3.0671894550323486
88,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,4381,-42366.100926971434,94676.18022852013,5,-211728.0,-17.63317108154297,-3.0676292896270754,0.15935575075843403,5,-3.3381104469299316,-2.947960615158081
89,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,4694,-8231495.791216278,18391586.66249328,5,-41131360.0,-13.875032424926758,-3.153189182281494,0.08756242095396939,5,-3.3063812255859375,-3.088355302810669
90,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5007,-296.24361152648925,409.91447088825026,5,-931.710205078125,-18.115427017211914,-3.3609619617462156,0.4870377389474124,5,-4.147502899169922,-2.847391128540039
91,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5320,-56.01329917907715,67.70738438794459,5,-175.34214782714844,-17.436986923217773,-3.171665906906128,0.1878439603933537,5,-3.456127882003784,-2.928072690963745
92,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5633,-58.747749710083006,56.38396588260392,5,-143.0106964111328,-17.604469299316406,-2.953769063949585,0.17477068076577745,5,-3.247671604156494,-2.8091166019439697
93,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,5946,-34.96661186218262,24.93593944208678,5,-78.85856628417969,-16.47551918029785,-3.06237473487854,0.1312092330750481,5,-3.2181570529937744,-2.9242310523986816
94,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,6259,-62.78004760742188,56.085593619868,5,-130.96339416503906,-18.338096618652344,-2.9649206161499024,0.20382501156177638,5,-3.2781195640563965,-2.7838430404663086
95,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,6572,-165.6737398147583,292.0833430613709,5,-685.8328857421875,-15.018694877624512,-3.243759346008301,0.2441234436174258,5,-3.475212335586548,-2.9799768924713135
96,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,6885,-96.30288372039794,160.56424789103042,5,-383.08111572265625,-15.04903507232666,-3.194156837463379,0.17995450042845604,5,-3.3804657459259033,-2.919849395751953
97,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,7198,-98.87857856750489,139.27099705495377,5,-342.4808044433594,-15.781183242797852,-2.987768602371216,0.20553461570515244,5,-3.3049087524414062,-2.7863683700561523
98,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,7511,-39.445608901977536,25.024902920319317,5,-77.71822357177734,-20.566797256469727,-2.9336647510528566,0.164481134762312,5,-3.1728925704956055,-2.73931622505188
99,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,7824,-46.831691360473634,34.45119803090106,5,-90.6827163696289,-19.877517700195312,-3.050762176513672,0.30219109143824685,5,-3.5638811588287354,-2.8072335720062256
100,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,8137,-83.35255813598633,84.43646123020328,5,-185.6065216064453,-20.375516891479492,-3.0397021770477295,0.3153618891321884,5,-3.5920569896698,-2.8328917026519775
101,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,8450,-44082.376163101195,98485.87047541255,5,-220259.25,-19.715457916259766,-2.920066976547241,0.08579560312020501,5,-3.0012409687042236,-2.7831082344055176
102,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,8763,-105.20957832336425,168.30162269803978,5,-405.52978515625,-21.835237503051758,-2.7957515716552734,0.08709265966440952,5,-2.8846218585968018,-2.651902914047241
103,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,9076,-38.42534828186035,29.024967191226576,5,-89.96051025390625,-22.16200828552246,-2.8326125621795653,0.14583424178313684,5,-3.0134952068328857,-2.6991500854492188
104,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,9389,-39.637337112426756,27.21461904471834,5,-85.49956512451172,-20.146387100219727,-2.8367751121520994,0.15119939980588742,5,-3.0319032669067383,-2.692718744277954
105,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,9702,-34.24279594421387,11.96470413966018,5,-54.27217102050781,-24.065284729003906,-2.9505002021789553,0.105253598996964,5,-3.097198009490967,-2.811628580093384
106,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10015,-301.7183269500732,469.4963112403173,5,-1132.6395263671875,-23.92266273498535,-2.8909131050109864,0.16985732909236925,5,-3.168923854827881,-2.7345054149627686
107,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10328,-98.22197914123535,95.64069336223533,5,-242.2899627685547,-21.971696853637695,-2.91973557472229,0.21899022088023332,5,-3.1975929737091064,-2.695521116256714
108,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10641,-45.15514945983887,21.54903570179259,5,-72.25790405273438,-27.439565658569336,-2.947205686569214,0.3474666638550152,5,-3.560054063796997,-2.727921724319458
109,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,10954,-49.29075660705566,28.856074825384308,5,-91.43230438232422,-23.619230270385742,-2.907241106033325,0.15483090876203756,5,-3.11190128326416,-2.76517653465271
110,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,11267,-42.36899681091309,15.689452584063863,5,-59.79613494873047,-20.75705909729004,-2.8316518306732177,0.10866720137722055,5,-2.9500534534454346,-2.6612799167633057
